F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F28.1,F29,Target
21.1,22.4,19.8,62.9,18.0,7.4,82536.77,1885.631,39.593,2600.0,73.235,72.04785265,96.29669,12.9,55.9,53.2,69.9,34.5,6.0,1.3,28.9,7.2,20.5,87.0,78.7,99.0,100.0,99.0,95.0,97.0,85.7
4.2,4.6,3.8,7.9,3.5,2.5,8413.429,73.582,0.31,48300.0,80.854,89.84058250999999,95.50092000000001,6.7,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,100.0,100.0,100.0,100.0,100.0,9.4
175.6,181.9,169.2,131.9,98.2,49.2,15839.538,727.526,121.468,610.0,51.444,31.09975395,65.81063,18.7,45.9,37.8,25.1,56.1,26.7,9.7,37.7,15.2,6.6,96.0,78.9,64.0,87.0,51.0,22.0,35.0,257.3
48.0,48.6,47.4,93.5,39.0,27.0,30485.798,722.313,33.561,540.0,68.795,60.31452,95.50092000000001,17.8,44.5,69.6,65.5,92.6,28.8,7.7,40.5,10.9,1.4,91.0,80.0,89.0,93.0,88.0,31.0,48.0,134.6
72.0,76.0,67.8,94.6,59.2,35.6,176745.364,4763.694,352.365,1120.0,65.437,54.89263615,74.05574,31.6,28.8,37.1,36.3,55.0,31.5,11.6,43.7,15.1,6.4,90.0,69.2,92.0,96.0,89.0,48.0,72.0,122.2
114.9,124.6,104.9,104.0,81.2,41.2,20152.894,678.778,75.474,1100.0,55.377,56.17108,61.48166,16.7,24.89999962,4.3,50.6,37.4,15.7,4.6,27.3,5.4,6.6,100.0,84.4,80.0,91.0,68.0,24.0,36.0,151.4
163.5,169.5,157.4,111.5,108.2,46.1,4486.837,156.2,24.581,470.0,48.398,55.9909,70.90381,14.0,43.0,34.0,55.5,32.0,24.0,8.0,41.0,7.0,1.8,0.0,64.5,67.0,92.0,51.0,34.0,43.0,169.1
18.1,19.5,16.7,53.6,14.1,9.2,29399.817,590.552,10.661,5500.0,73.99,89.59081302,98.10656,8.4,51.3,70.6,81.8,54.9,4.1,0.5,19.5,0.4,6.6,87.0,90.5,85.0,91.0,65.0,71.0,81.0,75.1
3.4,3.7,3.1,11.4,2.7,1.8,10689.663,96.501,0.324,21250.0,79.499,95.17895,99.35664,7.9,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,99.0,99.0,100.0,100.0,100.0,14.6
10.7,11.5,9.9,75.7,9.2,6.5,320.081,5.335,0.057,6530.0,76.848,98.39789794,96.76789,22.2,64.3,47.8,90.9,68.4,17.3,3.3,18.9,10.6,6.5,87.0,44.0,98.0,100.0,97.0,97.0,98.0,105.2
30.1,32.8,27.3,44.7,25.1,13.6,9.847,156.3825,0.006,5010.0,72.73599999999999,89.84058250999999,95.50092000000001,6.1,15.0,34.7,39.6,50.6,1.6,0.3,10.0,3.3,6.3,87.0,68.25,98.0,98.0,97.0,85.0,88.0,57.6
1.8,1.8,1.8,10.6,1.6,0.7,31.735,156.3825,0.001,50400.0,72.73599999999999,89.84058250999999,91.99763,9.25,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,94.0,98.0,90.0,85.0,92.0,11.9
67.1,72.8,61.3,52.5,42.8,29.9,12754.378,376.708,24.342,640.0,51.384,89.84058250999999,95.50092000000001,11.0,69.19999695,31.4,86.0,19.5,9.7,1.9,32.0,3.0,5.5,56.0,94.0,80.0,98.0,69.0,40.0,52.0,79.2
86.0,90.6,81.2,77.3,56.6,31.1,34318.39,156.3825,94.65,4730.0,72.73599999999999,89.84058250999999,95.50092000000001,9.25,51.5,41.0,51.1,40.1,32.2,12.6,35.0,16.4,6.6,87.0,9.5,94.0,98.0,90.0,85.0,92.0,122.8
19.5,21.2,17.7,26.0,16.7,8.9,3571.185,69.81,1.36,7910.0,76.128,94.09412379,98.66289,10.2,51.5,34.0,66.44999999999999,37.2,3.9,3.05,19.1,1.2,6.6,87.0,68.25,94.0,97.0,90.0,85.0,92.0,33.3
3.7,3.9,3.4,8.4,3.2,2.3,60788.694,556.778,2.148,35330.0,81.855,98.93336,99.0964,9.25,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,100.0,100.0,100.0,85.0,92.0,9.7
7.4,8.4,6.4,22.1,6.1,5.1,53.051,156.3825,0.006,12480.0,72.73599999999999,89.84058250999999,86.0003,7.8,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,100.0,99.0,99.0,99.0,96.0,96.0,28.3
41.5,44.5,38.4,49.1,29.6,18.2,2324.004,60.036,2.472,4700.0,62.465,88.75121,86.35408,15.7,71.3,23.9,90.5,28.4,16.6,3.8,29.0,7.5,4.6,87.0,62.9,93.0,99.0,90.0,32.0,57.0,72.8
